#
# Offmap Misc
#

house_irae_name;House Irae;;;;;;;;;;;;;x
irae_offmap_likes_me;Likes §YExceptional Women§!;;;;;;;;;;;;;x
irae_favor;Favor;;;;;;;;;;;;;x
monthly_irae_favor;Monthly Favor;;;;;;;;;;;;;x
likes_mediocre_men;Unattractiveness and Celibacy;;;;;;;;;;;;;x
likes_exceptional_women;Women, Sex, and Intelligence;;;;;;;;;;;;;x
irae_likes_exceptional_women;"An §Gexceptional woman§!! Join me in my bedchambers?" ;;;;;;;;;;;;;x
irae_likes_mediocre_men;Kekvit scoffs at the presence of such a §Rmediocre man§!. ;;;;;;;;;;;;;x
irae_likes_elves;Kekvit fondly strokes your §Gelven§! ears and licks her lips. ;;;;;;;;;;;;;x
irae_dislikes_disgusting;Kekvit sneers at your §Rdisgusting§! features. ;;;;;;;;;;;;;x
irae_likes_giant_female;"I bet you could crush my head between those §Ggiant§! thighs of yours!" ;;;;;;;;;;;;;x
irae_likes_giant_male;"I wonder what else is §Ggiant§! about you..." ;;;;;;;;;;;;;x
irae_likes_women;"I do enjoy the company of other §Gwomen§!." ;;;;;;;;;;;;;x
irae_likes_pillagers;"A §Gpillager§!? I have something you can ravage." ;;;;;;;;;;;;;x
irae_dislikes_kinslayer;Kekvit narrows her eyes when she hears of your §Rkinslaying§!. ;;;;;;;;;;;;;x
irae_likes_seldarine;"It's good to see another §GDark Seldarine§! faithful." ;;;;;;;;;;;;;x
irae_likes_smart;"I very much like conversing with those who are §Gsmart§!." ;;;;;;;;;;;;;x
irae_likes_mystics;"A §Gmystic§! like me? Fascinating!" ;;;;;;;;;;;;;x
irae_dislikes_disease;"Ew. Get away from me! I'm not touching anyone who is §Rdiseased§!!" ;;;;;;;;;;;;;x
irae_likes_pokemon;"FUCK YEAH §GSEAKING§!!" ;;;;;;;;;;;;;x
title_irae_matron;Matron Mother;;;;;;;;;;;;;x
irae_voice_title_female;Yathtallar;;;;;;;;;;;;;x
irae_voice_title_male;Court Wizard;;;;;;;;;;;;;x
sold_to_house_irae_tt;;§Y[This.GetTitledName]§! will be sold to the Dark Elven empire of House Irae.;;;;;;;;;;;;;x
child_of_kekvit;Adopted from House Irae;;;;;;;;;;;;;x
child_of_kekvit_desc;This character was adopted into a new dynasty from House Irae. Other dynasty members will see the newcomer as an usurper, but potential lovers will swoon over them for their exoticness.;;;;;;;;;;;;;x
exile_of_house_irae;House Irae Exile;;;;;;;;;;;;;x
exile_of_house_irae_desc;This character was exiled from House Irae. They are seen as a pariah to all except their spouse.;;;;;;;;;;;;;x
sold_prisoner;Sold a Prisoner;;;;;;;;;;;;;x
sold_prisoner_desc;You have sold a prisoner as a slave to House Irae. You will need to wait a month before selling another again.;;;;;;;;;;;;;x
daughter_sold;Sold Your Daughter;;;;;;;;;;;;;x
daughter_sold_desc;You have sold your own daughter to House Irae to be used as a sex slave. You monster. You will need to wait 10 years before you can sell off another.;;;;;;;;;;;;;x
houseirae_sent_gift;Sent Gift;;;;;;;;;;;;;x
houseirae_sent_gift_desc;You have sent a gift to House Irae. You must wait a month before you can send another.;;;;;;;;;;;;;x
peace_deal_with_irae;Peace Deal with the Iraes;;;;;;;;;;;;;x
IRAE_LIKES_LABEL;The Matron Mother Likes;;;;;;;;;;;;;x
IRAE_DISLIKES_LABEL;The Matron Mother Dislikes;;;;;;;;;;;;;x
